,efh,mfh,ghd
2010-09-24 14:00:00,1.5449328913145053,5.95092871951975,7.662774402608299
2010-09-24 15:00:00,1.6186859690405744,6.010587152798145,7.49573844832801
2010-09-24 16:00:00,1.723492974230252,6.189562452633325,7.579256425468154
2010-09-24 17:00:00,1.8826443524812437,6.5176838356644895,7.746292379748444
2010-09-24 18:00:00,2.041795730732235,7.039695126850432,8.497954174009749
2010-09-24 19:00:00,2.162129699653717,7.5318772013971795,8.247400242589313
2010-09-24 20:00:00,2.0844948809946966,7.725767109551957,8.226520748304278
2010-09-24 21:00:00,1.8205364975540272,7.382731118201194,7.161666539767429
2010-09-24 22:00:00,1.1606405389523542,6.085160194396137,5.637463456959784
2010-09-24 23:00:00,0.6948316269982322,4.459467887559914,5.700101939814893
2010-09-25 00:00:00,0.9925690039127154,4.233794963949428,7.862462647726369
2010-09-25 01:00:00,1.0437323546298656,4.640535091490422,7.862462647726369
2010-09-25 02:00:00,1.0948957053470159,4.363212277257927,8.890235542854
2010-09-25 03:00:00,1.2586184276418968,4.73297602956792,10.329117596032683
2010-09-25 04:00:00,1.7037395788811043,6.396912914962892,12.204803129640608
2010-09-25 05:00:00,2.5172368552837936,9.53990480959784,14.620069433190537
2010-09-25 06:00:00,3.1874767496784626,9.706298498137336,15.08256723599797
2010-09-25 07:00:00,2.952125336379571,9.336534745827343,14.69715240032511
2010-09-25 08:00:00,2.6911922477221046,9.096188306825848,13.566602215684716
2010-09-25 09:00:00,2.4814225097817886,8.578519053591855,12.564523642935278
2010-09-25 10:00:00,2.297234447200047,8.26421986412836,12.024942872993272
2010-09-25 11:00:00,2.210256750980892,8.005385237511366,11.331196168782121
2010-09-25 12:00:00,2.174442405478887,7.857479736587368,9.789536826090677
2010-09-25 13:00:00,2.174442405478887,7.74655061089437,9.58398224706515
2010-09-25 14:00:00,2.240954761411182,7.74655061089437,9.763842503712484
2010-09-25 15:00:00,2.353514132988913,7.968408862280366,10.020785727494392
2010-09-25 16:00:00,2.4660735045666433,8.412125365052358,10.329117596032683
2010-09-25 17:00:00,2.619563556718094,8.855841867824351,10.714532431705543
2010-09-25 18:00:00,2.6860759126503893,9.225605620134345,10.30342327365449
2010-09-25 19:00:00,2.6911922477221046,9.48444024675134,10.483283530301826
2010-09-25 20:00:00,2.558167535857514,9.391999308673842,10.072174372250775
2010-09-25 21:00:00,2.2000240808374616,8.560030865976355,9.24995605614867
2010-09-25 22:00:00,1.473504500653928,7.3028341081223775,7.836768325348179
2010-09-25 23:00:00,1.105128375490446,5.417038971341409,7.733991035835415
2010-09-26 00:00:00,1.0529471297862332,4.429547640021968,10.459023615613503
2010-09-26 01:00:00,1.107222755032946,4.855093701508796,9.54593425234566
2010-09-26 02:00:00,1.161498380279659,4.564948659585959,11.040080483147587
2010-09-26 03:00:00,1.335180381069141,4.951808715483075,13.364307953283923
2010-09-26 04:00:00,1.8073783207155445,6.692678967020092,16.352600414887778
2010-09-26 05:00:00,2.670360762138282,9.980989442145573,13.890026071529046
2010-09-26 06:00:00,3.381371452870223,10.155076467299274,13.751679198306645
2010-09-26 07:00:00,3.1317035767353425,9.76821641140216,12.866259209683278
2010-09-26 08:00:00,2.8548978879771063,9.516757375069034,12.451218590016076
2010-09-26 09:00:00,2.632367824465583,8.975153296813073,11.621137350681671
2010-09-26 10:00:00,2.4369755735774157,8.646322249300525,11.34444360423687
2010-09-26 11:00:00,2.344707010658004,8.375520210172544,10.735717362058306
2010-09-26 12:00:00,2.3067140729853044,8.220776187813698,10.209999243813183
2010-09-26 13:00:00,2.3067140729853044,8.104718171044562,10.569701114191425
2010-09-26 14:00:00,2.377272385806031,8.104718171044562,10.154660494524224
2010-09-26 15:00:00,2.4966787613488,8.336834204582832,10.901733609925186
2010-09-26 16:00:00,2.6160851368915687,8.80106627165937,11.482790477459272
2010-09-26 17:00:00,2.778912012631708,9.265298338735908,11.56579860139271
2010-09-26 18:00:00,2.849470325452435,9.652158394633025,11.593467976037191
2010-09-26 19:00:00,2.8548978879771063,9.922960433761004,12.119186094282314
2010-09-26 20:00:00,2.7137812623356528,9.826245419786725,11.593467976037191
2010-09-26 21:00:00,2.3338518856086607,8.955810294018217,10.901733609925186
2010-09-26 22:00:00,1.5631380071053358,7.6404861039680245,9.296909880545336
2010-09-26 23:00:00,1.172353505329002,5.667499818892737,8.881869260878133
2010-09-27 00:00:00,0.9357977672024813,4.046097372997773,8.25799932272399
2010-09-27 01:00:00,0.9840347655118876,4.4348054175652445,8.551973408646203
